type,title,director,country,release_year,age_rating,genre,rating,stars,votes,month_added,year_added,duration_min,seasons
Movie,tughlaq durbar,Delhiprasad Deenadayalan,Not Given,2020,TV-14,Comedies,5.4,Delhi Prasad Deenadayal,1635,9,2021,145,0
Movie,blood brothers: malcolm x & muhammad ali,Marcus Clarke,Not Given,2021,PG-13,Documentaries,6.9,Marcus A. Clarke,986,9,2021,96,0
Movie,jj+e,Alexis Almström,Not Given,2021,TV-MA,Dramas,5.3,Alexis Almström,1815,9,2021,91,0
Movie,worth,Sara Colangelo,United States,2021,PG-13,Dramas,6.8,Sara Colangelo,14516,9,2021,119,0
Movie,afterlife of the party,Stephen Herek,United States,2021,TV-PG,Comedies,5.8,Stephen Herek,9071,9,2021,110,0
TV Show,this is pop,Not Given,Pakistan,2021,TV-MA,Docuseries,6.9,Ludwig Göransson,1180,6,2021,0,1
TV Show,human: the world within,Not Given,Pakistan,2021,TV-PG,Docuseries,6.8,Mandy Harvey,772,6,2021,0,1
Movie,untold: breaking point,"Chapman Way, Maclain Way",United States,2021,TV-MA,Documentaries,7.6,Chapman Way,2865,9,2021,80,0
TV Show,elite short stories: carla samuel,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.8,Ester Expósito,2725,6,2021,0,1
TV Show,record of ragnarok,Not Given,Pakistan,2021,TV-MA,Anime Series,6.2,Kellen Goff,5162,6,2021,0,1
TV Show,elite short stories: omar ander alexis,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.2,Arón Piper,1979,6,2021,0,1
TV Show,penguin town,Not Given,Pakistan,2021,TV-PG,Docuseries,7.8,Patton Oswalt,874,6,2021,0,1
TV Show,beyond evil,Not Given,Pakistan,2021,TV-MA,Crime TV Shows,8.1,Shin Ha-kyun,3289,6,2021,0,1
TV Show,elite short stories: nadia guzmán,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.2,Miguel Bernardeau,1930,6,2021,0,1
Movie,headspace: unwind your mind,Not Given,Pakistan,2021,TV-G,Documentaries,7.1,Andy Puddicombe,155,6,2021,273,0
TV Show,rhyme time town,Not Given,Pakistan,2021,TV-Y,Kids' TV,7.7,Maddie Evans,80,6,2021,0,2
TV Show,elite short stories: guzmán caye rebe,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.4,Miguel Bernardeau,2343,6,2021,0,1
Movie,trese after dark,Not Given,Pakistan,2021,TV-14,Anime Features,6.2,Gio Puyat,25,6,2021,36,0
TV Show,guru aur bhole,Not Given,Pakistan,2018,TV-Y7,Kids' TV,4.8,,21,6,2021,0,2
TV Show,high on the hog: how african american cuisine transformed america,Not Given,Pakistan,2021,TV-14,Docuseries,7.7,Stephen Satterfield,711,5,2021,0,1
TV Show,mad for each other,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.9,Woo Jung,1872,5,2021,0,1
TV Show,pet stars,Not Given,Pakistan,2021,TV-PG,Reality TV,5.1,Colleen Wilson,123,4,2021,0,1
TV Show,the unremarkable juanquini,Not Given,Pakistan,2021,TV-MA,International TV Shows,4.3,Julián Cerati,191,4,2021,0,2
TV Show,yasuke,Not Given,Pakistan,2021,TV-MA,Anime Series,6.2,LaKeith Stanfield,5308,4,2021,0,1
TV Show,headspace guide to sleep,Not Given,Pakistan,2021,TV-G,Docuseries,6.8,,488,4,2021,0,1
TV Show,countdown: inspiration4 mission to space,Jason Hehir,Not Given,2021,TV-14,Docuseries,7.8,Sian Proctor,1915,9,2021,0,1
Movie,a cinderella story,Mark Rosman,United States,2004,PG,Children & Family Movies,5.9,Mark Rosman,87840,9,2021,95,0
TV Show,the wedding coach,Not Given,Pakistan,2021,TV-MA,Reality TV,4.9,Jamie Lee,92,4,2021,0,1
TV Show,alien tv,Not Given,Pakistan,2021,TV-Y7,Kids' TV,6.1,Julie Lemieux,310,3,2021,0,2
TV Show,last chance u: basketball,Not Given,Pakistan,2021,TV-MA,Docuseries,8.3,John Mosley,2606,3,2021,0,1
TV Show,marriage or mortgage,Not Given,Pakistan,2021,TV-G,Reality TV,0.0,,0,3,2021,0,1
TV Show,pokémon journeys: the series,Not Given,Pakistan,2021,TV-Y7,Anime Series,6.9,Ikue Ôtani,632,3,2021,0,4
Movie,extraction,Steven C. Miller,United States,2015,R,Action & Adventure,6.7,Sam Hargrave,200239,9,2021,82,0
Movie,initial d,"Andrew Lau Wai-keung, Alan Mak",China,2005,TV-14,Action & Adventure,6.3,Andrew Lau,8806,9,2021,109,0
TV Show,thus spoke kishibe rohan,Not Given,Pakistan,2021,TV-MA,Anime Series,7.5,Landon McDonald,1314,2,2021,0,1
TV Show,thus spoke kishibe rohan,Not Given,Pakistan,2021,TV-MA,Anime Series,7.8,Toshiyuki Kato,263,2,2021,0,1
TV Show,korean pork belly rhapsody,Not Given,Pakistan,2020,TV-G,Docuseries,7.8,Paik Jong-won,73,1,2021,0,1
Movie,mars attacks!,Tim Burton,United States,1996,PG-13,Comedies,6.4,Tim Burton,227173,9,2021,106,0
Movie,best of stand-up 2020,Not Given,Pakistan,2020,TV-MA,Stand-Up Comedy,5.5,Eric André,650,12,2020,77,0
Movie,open season 2,"Matthew O'Callaghan, Todd Wilderman",United States,2008,PG,Children & Family Movies,5.5,"""Matthew OCallaghan",24277,9,2021,76,0
TV Show,the great british baking show: holidays,Not Given,Pakistan,2020,TV-MA,British TV Shows,8.1,Paul Hollywood,148,12,2020,0,3
TV Show,heart & soul,Not Given,Pakistan,2019,TV-14,International TV Shows,5.4,Chioma Adibe,8,11,2020,0,1
TV Show,find yourself,Not Given,Pakistan,2020,TV-14,International TV Shows,7.7,Victoria Song,227,1,2020,0,1
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,6.4,,260,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.7,Rajiv Chilaka,13,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.4,Rajiv Chilaka,8,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.8,Rajiv Chilaka,10,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.5,Rajiv Chilaka,7,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.7,Rajiv Chilaka,7,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.9,Rajiv Chilaka,10,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.3,Rajiv Chilaka,8,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.2,Rajiv Chilaka,6,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.0,Rajiv Chilaka,7,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,0.0,Rajiv Chilaka,0,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.0,Rajiv Chilaka,6,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,8.4,Rajiv Chilaka,6,9,2020,0,3
TV Show,mighty little bheem,Not Given,Pakistan,2020,TV-Y,Kids' TV,7.8,Rajiv Chilaka,6,9,2020,0,3
TV Show,fukrey boyzzz,Not Given,Pakistan,2020,TV-Y,Kids' TV,6.8,Viraaj Modgill,13,9,2020,0,1
TV Show,transformers: cyberverse,Not Given,Pakistan,2020,TV-Y7,Kids' TV,6.6,Jeremy Levy,377,9,2020,0,2
TV Show,street food: latin america,Not Given,Pakistan,2020,TV-PG,Docuseries,7.8,Adin Rudd,1386,7,2020,0,1
Movie,wind river,Taylor Sheridan,United Kingdom,2017,R,Dramas,7.7,Taylor Sheridan,249800,8,2021,107,0
